time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449950000	16.0891	19.6155	4.76191	2.61242	0.553746	radar	9.93066	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8878	19.7542	4.77168	2.63364	0.547652	lidar	0.778117	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6955	19.8789	4.75977	2.6448	0.522025	radar	3.54011	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4747	20.021	4.78707	2.66484	0.515551	lidar	1.49826	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2698	20.1576	4.79567	2.67748	0.499172	radar	6.03618	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0765	20.2893	4.79374	2.69113	0.489325	lidar	1.99014	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8489	20.3734	4.7931	2.72352	0.497862	radar	1.91005	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6335	20.4904	4.80159	2.74146	0.491443	lidar	0.797028	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4027	20.5766	4.8088	2.77238	0.501217	radar	1.17864	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.158	20.6507	4.82016	2.80331	0.505948	lidar	0.766721	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.925	20.7216	4.82367	2.83467	0.515557	radar	0.361306	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6589	20.7831	4.85033	2.868	0.521207	lidar	2.07753	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.414	20.8157	4.85336	2.91353	0.549649	radar	2.6256	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1663	20.8619	4.86048	2.94399	0.551987	lidar	0.23805	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9354	20.9183	4.85883	2.96758	0.549223	radar	1.70144	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7224	20.9717	4.84022	2.98766	0.543469	lidar	1.58287	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4749	21.0091	4.85084	3.0167	0.547375	radar	2.75246	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2284	21.0489	4.8603	3.04059	0.543923	lidar	0.22826	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9896	21.0685	4.86006	3.07126	0.55104	radar	1.04275	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7405	21.0467	4.85595	3.11057	0.561606	lidar	1.92546	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.493	21.0333	4.85782	3.14637	0.570562	radar	1.20083	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2673	21.0333	4.84268	3.17245	0.569026	lidar	0.542945	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0138	20.9947	4.85008	3.21221	0.580938	radar	4.3546	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7921	20.9634	4.82908	3.24403	0.584316	lidar	0.590958	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5452	20.9583	4.82998	3.25833	0.561625	radar	5.19011	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2801	20.9782	4.86154	3.26976	0.545333	lidar	3.36614	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0417	20.9586	4.85995	3.29123	0.539141	radar	0.988472	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83173	20.9243	4.83146	3.31654	0.538863	lidar	1.57019	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59583	20.9127	4.81971	3.32299	0.509562	radar	2.63123	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38847	20.8627	4.79131	3.35021	0.512262	lidar	1.21003	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.1614	20.8235	4.78422	3.37087	0.507329	radar	1.5605	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89025	20.7829	4.82209	3.38928	0.499647	lidar	1.97463	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66859	20.7072	4.81169	3.41943	0.50476	radar	4.41722	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40736	20.6191	4.84278	3.44961	0.508078	lidar	2.69554	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17898	20.5399	4.84283	3.47678	0.510566	radar	0.0520372	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94062	20.4585	4.85323	3.50124	0.509234	lidar	0.161777	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72278	20.3741	4.85116	3.53002	0.517204	radar	3.40068	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.44028	20.3106	4.90351	3.54059	0.501545	lidar	4.09672	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.21364	20.2123	4.9034	3.56423	0.498595	radar	0.258038	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.95747	20.129	4.93187	3.57923	0.488627	lidar	1.30566	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.73634	20.035	4.92478	3.59726	0.480442	radar	0.493916	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.49016	19.9444	4.94496	3.61168	0.471072	lidar	0.847939	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.27544	19.8494	4.93519	3.62896	0.465084	radar	2.74829	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.01869	19.7563	4.96579	3.63914	0.45226	lidar	1.71129	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.7994	19.6123	4.98267	3.67352	0.468163	radar	2.04612	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.60168	19.4942	4.96522	3.69572	0.467595	lidar	0.747307	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.40151	19.3455	4.96392	3.72651	0.475783	radar	1.59106	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.18106	19.2455	4.96401	3.73582	0.462621	lidar	2.02807	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.98423	19.1309	4.9397	3.74746	0.447436	radar	4.50946	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.80405	18.9823	4.92317	3.77513	0.452763	lidar	0.422109	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.60024	18.8332	4.93458	3.7993	0.456763	radar	1.51973	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
